cluster,article_count,cluster_subject_en,coherent,confidence,rationale,model,prompt_version,context_hash,representative_titles,approved_cluster_subject_en,review_status,review_notes
n_18,36,Dark Season Blues,False,medium,"Most articles cover the Dark Season Blues festival, including its programme, performers, attendance, funding and logistics. However, the cluster also contains a distinct group about Spitsbergen Rock and local nightlife, plus at least one unrelated personal profile, so it is not fully coherent.",gpt-5.6-sol,contextual-cluster-label-v1,f4b5ab87f684bfbf3b6e297a09088ee92f22d98a797cf74774ca4b1f62bd858a,"[""The Blues Are Underway"", ""New Music Concept at Kroa"", ""The Tenth—and the Best—Blues Weekend"", ""Joyful Dancing at Kullungen"", ""The blues programme is set"", ""Taxiing to Suomi"", ""Ten Years of Blues in the Dark"", ""The Blues Has Taken Off"", ""Sailing into This Year’s Blues Festival"", ""Blues Fever Infected a Record Number"", ""Ready for a New Blues Festival"", ""Festival Moves Again"", ""Donation to blues club"", ""No Topless Bartenders at Huset"", ""A Tear for Svalbard"", ""All Passengers Made It On"", ""Successful Blues Festival"", ""The Town Gets the Blues Again"", ""Ready to Rock Endalen"", ""Rock festival runs a deficit""]",Dark Season Blues,approved,Generated English label approved.
n_19,40,Polarjazz Festival,True,high,"The cluster is dominated by Polarjazz previews, performances, ticket sales, preparations, artists, and festival finances. A few broader concert articles are peripheral but remain closely aligned with local live-music coverage.",gpt-5.6-sol,contextual-cluster-label-v1,14b7c0d3420b263158840ba7bd3e46c0922e72854b4a3d21d3a9ef947c7a3bbd,"[""Polarjazz gets under way"", ""Donkeyboy Urge Crowd to Jump"", ""The autumn cultural season gets under way"", ""Filling the Cultural Centre with Symphony"", ""Yes! Now It’s Jazz"", ""Imperial Fireworks"", ""The Jazz Festival Gets Underway"", ""A few tickets left"", ""The music festival is under way"", ""Set Up and Ready"", ""Bugge Wesseltoft Delivers the Goods"", ""No Minor Key in the Jazz Accounts"", ""Kaizers to Kick Off in Longyearbyen"", ""Coming to Polarjazz"", ""Spellbinding opening of Polarjazz"", ""A Wild Katzenjammer"", ""Ready for Jazz"", ""Circles"", ""Festival gets off to a hot start"", ""Packed Houses at Polarjazz""]",Polarjazz Festival,approved,Generated English label approved.
n_2,69,Dogs on Svalbard,True,high,"The articles consistently concern dogs in Svalbard, especially sled dogs, kennels, racing, tourism, animal welfare, ownership and dog-related incidents. The geographic qualifier helps unify this broad local-news subject.",gpt-5.6-sol,contextual-cluster-label-v1,f38a3655537972ff9464e213a7c45bcbd6271913ab5969739398c103959d081a,"[""Tommy Jumps on the Trend"", ""Dogs Rescued Unharmed"", ""Dog Shot Near Airport"", ""Increased Alert After Kennel Cough"", ""Dog-Racing Season Underway"", ""Dog Injures Reindeer"", ""Fined for Letting Dogs Run Loose"", ""The Polar Dachshund Association"", ""Dogs Escape from Kennel"", ""A Profitable Investment in a Dream"", ""New Case Against Svalbard Huskies"", ""Following Up on Svalbard Huskies"", ""Hard to Guard Against"", ""A quick trip to the far north"", ""A Dog’s Life in the Valley"", ""Trapper’s Trail Under Way"", ""This Is Where Tommy’s Adventure Begins"", ""A True Nature Manager"", ""A Breathless Dog Sled Race"", ""Tight at the Top""]",Dogs on Svalbard,approved,Generated English label approved.
n_20,65,Longyearbyen Municipal Operations,True,medium,"The cluster chiefly covers Bydrift and its energy utility, including power-plant operations, outages, electricity pricing, budgets, safety, and other municipal infrastructure projects. The subjects vary, but they share a clear institutional focus on Longyearbyen’s municipal operations.",gpt-5.6-sol,contextual-cluster-label-v1,b7b1fb7cf8dfb228bfc64022920fbaa287f41b5b4cfe6bfb7dab56ea87399444,"[""Fears of Noise from Backup Power Plant"", ""Svalbard Could Play a Central Role in CO2 Capture and Storage"", ""Built Without Approval"", ""Dangerous Power Cables"", ""New Agreement Means Higher Electricity Prices"", ""Skate Ramp Moved"", ""Effective April Fool’s Joke"", ""Cut the Travel Budget"", ""Must Withdraw Urban-Environment Applications"", ""Power Plant Back in Operation"", ""Concerned About Mountain Sections"", ""A Huge Cost Overrun for Bydrift"", ""Fire at the Power Plant"", ""All’s Well That Ends Well"", ""Passed the Big Test"", ""Human Error at the Power Plant"", ""Power Failure at the Power Station"", ""Running on Reserve"", ""Data Problems Plunged the Town into Darkness"", ""Smoke from the Old Chimney""]",Longyearbyen Municipal Operations,approved,Generated English label approved.
n_21,57,UNIS education and research,True,medium,"Most articles concern UNIS teaching, students, research, leadership, employment, funding, and institutional disputes. A few profiles and broader research or policy pieces are peripheral, but the cluster remains predominantly focused on UNIS.",gpt-5.6-sol,contextual-cluster-label-v1,513c9a24733ff97657b166eb48e036cc8a0cf358b17b32375335a91bf4640385,"[""Cold Knowledge"", ""From 15,000,000 to 500"", ""Leaving Unis"", ""The Theater of Dreams"", ""Royal Honour for Research Efforts"", ""Funding Secured"", ""Taking Things as They Came"", ""Preparatory course opens new opportunities"", ""Selling Klättermusen at Rock-Bottom Prices"", ""Strategic Outpost"", ""No Special Treatment"", ""Got her hat handed to her"", ""The Svalbard Initiative’s Greatest Success"", ""Leaping Into a New Semester"", ""Researchers Hire Lawyer After Rent Dispute"", ""From Coal Mine to Gas"", ""SINTEF Wants a Piece of the Arctic"", ""“Oversimplified,” Says Auditor General"", ""Ecosystem-Based Management—and Teaching"", ""Reached a Rent Agreement Everyone Can Live With""]",UNIS education and research,approved,Generated English label approved.
n_22,49,Longyearbyen businesses,False,low,"The cluster broadly concerns local commerce, but it combines distinct subjects: Lompensenteret ownership and retail stores, Café Busen and other hospitality businesses, alcohol licensing and service violations, and a few personal profiles. “Longyearbyen businesses” is the least misleading umbrella label, but the articles do not form a single focused topic.",gpt-5.6-sol,contextual-cluster-label-v1,034e404d4e3697bded101549726fb7788f0b29cde1d635aa289f842d0635ec88,"[""How About a Glass?"", ""Relaxing back in the bubble"", ""MIX Store of the Year"", ""Serving the Future"", ""No Alcohol Sales at Airport"", ""Busy Opening at Lompensenteret"", ""Young People Drink"", ""Early Signs of a Kiosk Sale"", ""Alcohol-dependent"", ""Deal sealed for Lompen"", ""Thon takes charge"", ""Fears for Busen’s future"", ""Tough Times for Fashion Stores"", ""No Earlier Alcohol Service"", ""Customers Abandon Busen"", ""Thon’s thinking"", ""Dedicated Bergans section"", ""Polar Hotel Disappointed by Decision"", ""Man Served into Oblivion at Svalbar"", ""Sports Shops Packed Side by Side""]",Retail and Hospitality Businesses,approved,English label revised during manual review.
n_23,30,Film culture,True,high,"The articles consistently concern filmmaking, film premieres and screenings, local film festivals, and recurring short-film projects such as Sval and Bard. These are coherent facets of film culture despite involving several separate productions and events.",gpt-5.6-sol,contextual-cluster-label-v1,80659722eb6f9536e47f218afe739f0ef36e925c9da6dd77b010d1ab8901e811,"[""Film festival gets under way"", ""Filming Began This Week"", ""Film Festival Postponed"", ""Everything Goes Wrong for Tourists Sval and Bard"", ""CinemArctic could become a TIFF satellite"", ""Film festival after all"", ""Film Festival in January"", ""Organising Film Festival for Earthquake Victims"", ""Film festival in Barentsburg"", ""Making a Film of Snowmobile Tricks"", ""Bjørnøya Gets Its Own Film Festival"", ""The Films Are Here"", ""Introducing the “Crazy” Tourists"", ""Wild Snowmobile Ride"", ""These Two Will Welcome You to Svalbard"", ""Won’t Be Stopped"", ""Mishandling a Polar Bear"", ""Sval and Bard Are Poorly Organised"", ""Premiere Screening in Longyearbyen"", ""Thriller from Svalbard""]",Film culture,approved,Generated English label approved.
n_24,44,Cruise tourism development,True,medium,"Most articles concern cruise traffic, tourism growth, and the expansion or operation of Longyearbyen’s port and quays. A few representative articles on housing, wildlife, and mining history appear to be outliers.",gpt-5.6-sol,contextual-cluster-label-v1,ca89c93133d1ab3993546dbac597cf5e08207c7b96bf7793264e49cdc9e0ab88,"[""Things are getting tighter"", ""“If this is the best they can do, I’m worried”"", ""Want to Sort Out the Chaos Road Between Town and Port"", ""A new course for cruise tourism"", ""The Sheep Herds"", ""The Starter"", ""Svalbard Conservatives Welcome Growth in Tourism"", ""At Last, He Has a Plan"", ""Tourism Plan to Be Adopted"", ""Dinosaur Hunting and Sherpa Trails by Isfjorden"", ""A Coal Mine Could Become a Gold Mine"", ""Allocates NOK 15 million for planning new port"", ""Quintuples the Population"", ""The Marble May Be to Blame"", ""The future of the quay is floating"", ""More Room for the Harbour"", ""Fears of a Cruise Slump"", ""Record Revenue for the Port"", ""Majority Backs New Harbor Boat"", ""Profiting from Turnaround Ports""]",Cruise tourism development,approved,Generated English label approved.
n_25,58,Museums and cultural heritage,True,medium,"Most articles concern museums, exhibitions, historical artifacts, archaeology, graves, expeditions, and preservation or interpretation of local history. A few items, such as the seminar announcement and contemporary balloon flight, are peripheral outliers, but the cluster is predominantly coherent.",gpt-5.6-sol,contextual-cluster-label-v1,610c764bff814f9650fd36cdcd677605619d8f2181971aea2763cdd818da27ac,"[""Honored and Delighted"", ""Ministers to Attend the Svalbard Seminar"", ""Award for Svalbard Museum"", ""The first service vessels"", ""The Grave Was Found Earlier"", ""Visitors Steal Fur"", ""Not Chosen as “Museum of the Year”"", ""A High-Flying Opening in Longyearbyen"", ""Not Fit for Use"", ""Polardego"", ""Airships Move Out"", ""Munch Has Left Us"", ""Svalbard’s Highest Cultural Heritage Site"", ""Mini-Exhibition Opens"", ""About trappers and overwintering"", ""Missed the North Pole"", ""The Leather Sole from Skolteneset"", ""Remains of an expedition"", ""Excavation on Bjørnøya to Begin This Year"", ""Researchers Want to Open Mass Grave""]",Museums and cultural heritage,approved,Generated English label approved.
n_26,38,Wildlife ecology,True,high,"The articles consistently concern wild animal species, including their populations, behaviour, habitats, pollution exposure, climate responses, conservation status, and unusual sightings. Birds and marine mammals dominate, with a few peripheral items on wildlife management and public engagement.",gpt-5.6-sol,contextual-cluster-label-v1,3cb588c0cb7be220325035435366b422ce894eda9d3efd5d5aadafd43c344d52,"[""New Article on Red-Listed Species"", ""When Pernilla Became Dr Phil"", ""New Book about Seabirds"", ""Ancient Polar Bear"", ""Secures Jawbone from Sperm Whale"", ""People, Birds and Longyearbyen"", ""New Environmental Toxins Found in Glaucous Gulls"", ""Walrus Numbers Rise Sharply in Svalbard"", ""Tougher Conditions for Ringed Seals in the North"", ""Whale Blows as Far as the Eye Can See"", ""Shark summer"", ""Whale Transmitter Is Working"", ""Tromsø Wants Bearded Seals"", ""47 Svalbard Species Are Threatened"", ""Nearing Threatened Status"", ""New Bird Species on Bjørnøya"", ""Ready for Birdlife"", ""The Eider Ducklings Are Hatching"", ""Exceptionally early"", ""No One Has Seen This Before""]",Wildlife ecology,approved,Generated English label approved.
n_27,43,Tourism industry,True,medium,"The cluster is dominated by hotels, accommodation expansion, tourism companies, hospitality finances, management, capacity and working conditions in Longyearbyen. Snowmobile rentals and restaurants are linked parts of the visitor economy. The memorial-plaque article is an isolated outlier.",gpt-5.6-sol,contextual-cluster-label-v1,6b64cfa28249b5893347bbd8dffbd453a74f422a7350fdd2849b3bbb87d19e12,"[""Disagreement Over Thon Restaurant"", ""Memorial to Unknown Man"", ""New Times for Huset"", ""A Heavenly Moment"", ""New Hotel Manager Takes Up Post"", ""SSU in the red"", ""Travel giant posts losses"", ""Thon Hotel Longyearbyen"", ""Owns half the town"", ""Wants More Rooms"", ""Travel giant going gangbusters"", ""Sceptical About the Hospitality Industry"", ""Plans Hotel on Elvesletta"", ""Did Not Win Young Leader of the Year"", ""Meeting the competition with investment"", ""Leapt to the top of the hotel rankings"", ""Prices Are Falling"", ""Joining the Snowmobile Debate"", ""Reprimanded by Labour Inspection Authority"", ""Tourism “hit the ceiling” in July""]",Tourism industry,approved,Generated English label approved.
n_28,66,Longyearbyen urban development,True,medium,"The cluster primarily covers housing construction and supply, zoning and land-use plans, property use, and redevelopment decisions in Longyearbyen. A few articles focus more narrowly on rentals or property sales, but they remain connected to the town’s housing and built environment.",gpt-5.6-sol,contextual-cluster-label-v1,be57099529b1abccca9bc3287519229977caa94a6b299bc01ec9ab6f6581145f,"[""Drawing Up a New Plan for the Town"", ""Calls for Better Housing Provision"", ""Cashing In on the Solar Eclipse"", ""Attractive Homes for Sale"", ""The Price Drivers"", ""Local Council Must Take Responsibility"", ""Properties Sold"", ""UNIS wants to build a researcher hotel here"", ""Checking Whether the Squatters Are Out"", ""There will be a research hotel"", ""How many do we want to be?"", ""Green space preferred to hotel"", ""No Researcher Hotel After All"", ""Disagreement over cultural heritage in Sjøområdet"", ""This is what Sjøområdet could look like"", ""Opens the Door to Smaller Homes"", ""Sjøområdet Decision Postponed Again"", ""“A Plan with Many Flaws”"", ""Here come 100 new homes"", ""Owner of Unauthorised Site Cabins Found""]",Longyearbyen urban development,approved,Generated English label approved.
n_29,84,Longyearbyen local politics,True,high,"The cluster consistently covers local council elections, party nominations and campaigns, voting, coalition agreements, council leadership, and political debate in Longyearbyen. A few feature-style or commentary pieces are less direct but retain a clear local-political context.",gpt-5.6-sol,contextual-cluster-label-v1,8855b56dcbff59a8214c936820da0d2a4d8eb5e59aa02ff12f3e804c026b865c,"[""Get the Election Results Here!"", ""At the top for Labour"", ""From Children to Bar"", ""Cabin Waste Collection Up in the Air"", ""A New Way"", ""This Is How the Local Council Will Work Together"", ""Wants to Give Labour a Proper Conservative Challenge"", ""Still Thinking It Over"", ""Voting under way"", ""Hekne Is Stepping Down Next Year"", ""Ready for the election"", ""Good Prospects for Labour"", ""Length of Residence, Economic (Ir)responsibility and Rhetoric"", ""Use Your Voice Today"", ""A Vacuum in Politics"", ""Labour Wins Longyearbyen Local Council Leadership"", ""Between Us Armchair Democrats"", ""In Snow and Blow"", ""Political Silence"", ""Celebrating—and Celebrating Themselves""]",Longyearbyen local politics,approved,Generated English label approved.
n_3,35,Rabies Prevention and Control,False,medium,"Most articles concern rabies cases, testing, wildlife surveillance, fox trapping, and infection control. A substantial secondary group instead covers dog import rules and access to veterinary services, which are related to animal health but not consistently about rabies.",gpt-5.6-sol,contextual-cluster-label-v1,b9e89b699f2f27b45e0f363160fc723271aa99e3f556f58b28dd60bb7d09b687,"[""Not Infected"", ""“It Provides Great Peace of Mind”"", ""Illegal Dogs Could Be Euthanized"", ""Did Not Die of Rabies"", ""Fears rabies in Hornsund"", ""Considering Tourist Visas for Dogs"", ""Despair over New Dog Rules"", ""No funding for veterinarian"", ""Calls for Better Veterinary Services"", ""It Had Rabies"", ""Fox had rabies"", ""Culling foxes"", ""Ready for Fox Trapping"", ""Fox caught in trap"", ""Threatened by aggressive fox"", ""Four new animals"", ""Rabies Hunt Continues"", ""Woman bitten by Arctic fox"", ""Rabies outbreak in Longyearbyen"", ""Possible Rabies on Bear Island""]",Rabies and Animal Health,approved,English label revised during manual review.
n_30,73,Longyearbyen local government,True,medium,"Most articles concern the local council’s administration, budgets, fees, services, infrastructure, leadership, and public accountability. Population surveys and community-policy stories provide related civic context, though ministerial visits and business certification are peripheral.",gpt-5.6-sol,contextual-cluster-label-v1,71b2ecd5c95bb38755d51e0412fe9c26809d0ecc7eec94a6f00c6d9df8376b1a,"[""Listening to Residents"", ""Surveying living conditions"", ""This means higher road tolls"", ""On the port’s accounts"", ""Southbound, Round Trip"", ""Survey examines the town’s spending"", ""Better Care Means Saying No"", ""Returning to Klepp"", ""The chain gets a new bearer"", ""The Enterprises: What 2013 Will Look Like"", ""More and more foreigners"", ""Storberget Wants to Visit Svalbard"", ""More Eco-Lighthouse Businesses"", ""Calls for greater openness"", ""Missed the Mark by More Than 50 Percent"", ""Tense After Fee Victory"", ""Revival Meeting"", ""Won Appeal Against Million-Krone Fee"", ""The darkness descends"", ""“A worrying budget”""]",Longyearbyen local government,approved,Generated English label approved.
n_31,51,Polar research,True,medium,"Most articles concern polar science, including research projects and funding, the Norwegian Polar Institute, research vessels and expeditions, and scientific communication about climate change. Climate-focused official visits and a few institutional or royal stories are peripheral but generally connected to the research community.",gpt-5.6-sol,contextual-cluster-label-v1,ddcc8f80c03610ab41b226fd8ff07d86bf296c450eab2873d0d14a19f70fc78f,"[""UN Secretary-General to Visit Svalbard"", ""Into the Wild in Svalbard"", ""Research Grants Distributed"", ""Resigns from academy"", ""From Paris to the Polar Night"", ""Norwegian Polar Institute Criticised"", ""Continues as NP director"", ""Norwegian Warming"", ""Symposium Begins in Ny-Ålesund"", ""Gets his name on Svalbard land"", ""15 Svalbard projects under IPY"", ""“Will Use Svalbard in New Climate Campaign”"", ""Visiting Svalbard"", ""UNIS Joins New IPY Project"", ""Mette-Marit is coming too"", ""Go, Nansen!"", ""Calls for New Research Vessel"", ""Open seminar with Ban Ki-moon"", ""Easy with an “Amen”"", ""In Nansen’s Wake""]",Polar research,approved,Generated English label approved.
